"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","131","Circular             1052672             Microsoft-Windows-Storage-ClassPnP/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","132","Circular             1052672             Microsoft-Windows-Storage-ATAPort/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","133","Circular             1052672             Microsoft-Windows-Storage-ATAPort/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","134","Circular             1052672           0 Microsoft-Windows-StateRepository/Restricted","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","135","Circular             5242880        3745 Microsoft-Windows-StateRepository/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","136","Circular             1052672           0 Microsoft-Windows-SMBWitnessClient/Informational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","137","Circular             1052672           0 Microsoft-Windows-SMBWitnessClient/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","138","Circular             8388608           0 Microsoft-Windows-SMBServer/Security","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","139","Circular             8388608        4252 Microsoft-Windows-SMBServer/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","140","Circular             8388608           0 Microsoft-Windows-SMBServer/Connectivity","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","141","Circular             8388608           0 Microsoft-Windows-SMBServer/Audit","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","142","Circular             8388608          84 Microsoft-Windows-SmbClient/Security","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","143","Circular             8388608           0 Microsoft-Windows-SMBClient/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","144","Circular             8388608        1798 Microsoft-Windows-SmbClient/Connectivity","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","145","Circular             8388608           0 Microsoft-Windows-SmbClient/Audit","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","146","Circular             1052672             Microsoft-Windows-SmartScreen/Debug","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","147","Circular             1052672           0 Microsoft-Windows-SmartCard-TPM-VCard-Module/Oper…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","148","Circular             1052672           0 Microsoft-Windows-SmartCard-TPM-VCard-Module/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","149","Circular             1052672           0 Microsoft-Windows-SmartCard-DeviceEnum/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","150","Circular             1052672           0 Microsoft-Windows-SmartCard-Audit/Authentication","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","151","Circular             1052672          76 Microsoft-Windows-ShellCommon-StartLayoutPopulati…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","152","Circular             1052672        2320 Microsoft-Windows-Shell-Core/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","153","Circular             1052672           0 Microsoft-Windows-Shell-Core/LogonTasksChannel","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","154","Circular             1052672         314 Microsoft-Windows-Shell-Core/AppDefaults","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","155","Circular             1052672           0 Microsoft-Windows-Shell-Core/ActionCenter","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","156","Circular             1052672           0 Microsoft-Windows-Shell-ConnectedAccountState/Act…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","157","Circular             1052672             Microsoft-Windows-ServiceReportingApi/Debug","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","158","Circular             1052672           0 Microsoft-Windows-SecurityMitigationsBroker/Opera…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","159","Circular             1052672             Microsoft-Windows-SecurityMitigationsBroker/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","160","Circular             1052672           0 Microsoft-Windows-Security-UserConsentVerifier/Au…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","161","Circular             1052672           1 Microsoft-Windows-Security-SPP-UX-Notifications/A…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","162","Circular             1052672           0 Microsoft-Windows-Security-SPP-UX-GenuineCenter-L…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","163","Circular             1052672           0 Microsoft-Windows-Security-Netlogon/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","164","Circular             1052672           0 Microsoft-Windows-Security-Mitigations/UserMode","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","165","Circular             1052672         528 Microsoft-Windows-Security-Mitigations/KernelMode","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","166","Circular             1052672         140 Microsoft-Windows-Security-LessPrivilegedAppConta…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","167","Circular             1052672           0 Microsoft-Windows-Security-Isolation-BrokeringFil…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","168","Circular             1052672             Microsoft-Windows-Security-ExchangeActiveSyncProv…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","169","Circular             1052672           0 Microsoft-Windows-Security-EnterpriseData-FileRev…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","170","Circular             1052672           0 Microsoft-Windows-Security-Audit-Configuration-Cl…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","171","Circular             1052672           0 Microsoft-Windows-SearchUI/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","172","Circular             1052672             Microsoft-Windows-RRAS/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","173","Circular             1052672           0 Microsoft-Windows-RetailDemo/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","174","Circular             1052672           0 Microsoft-Windows-RetailDemo/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","175","Circular             1052672           0 Microsoft-Windows-RestartManager/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","176","Circular             1052672          31 Microsoft-Windows-Resource-Exhaustion-Resolver/Op…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","177","Circular             1052672          53 Microsoft-Windows-Resource-Exhaustion-Detector/Op…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","178","Circular             1052672             Microsoft-Windows-Remotefs-Rdbss/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","179","Circular             1052672           0 Microsoft-Windows-RemoteDesktopServices-SessionSe…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","180","Circular             1052672           0 Microsoft-Windows-RemoteDesktopServices-RdpCoreTS…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","181","Circular             1052672           0 Microsoft-Windows-RemoteDesktopServices-RdpCoreTS…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","182","Circular             1052672           0 Microsoft-Windows-RemoteAssistance/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","183","Circular             1052672           0 Microsoft-Windows-RemoteAssistance/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","184","Circular             1052672           0 Microsoft-Windows-RemoteApp and Desktop Connectio…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","185","Circular             1052672           0 Microsoft-Windows-RemoteApp and Desktop Connectio…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","186","Circular             1052672           0 Microsoft-Windows-Regsvr32/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","187","Circular            33554432           0 Microsoft-Windows-ReFS/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","188","Circular             1052672           0 Microsoft-Windows-ReadyBoostDriver/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","189","Circular             1052672          70 Microsoft-Windows-ReadyBoost/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","190","Circular             1052672             Microsoft-Windows-RasAgileVpn/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","191","Circular             1052672        1657 Microsoft-Windows-PushNotification-Platform/Opera…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","192","Circular             1052672           0 Microsoft-Windows-PushNotification-Platform/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","193","Circular             1052672             Microsoft-Windows-Proximity-Common/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","194","Circular             1052672           0 Microsoft-Windows-Provisioning-Diagnostics-Provid…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","195","Circular             1052672           0 Microsoft-Windows-Provisioning-Diagnostics-Provid…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","196","Circular             1052672         398 Microsoft-Windows-Provisioning-Diagnostics-Provid…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","197","Circular             1052672           0 Microsoft-Windows-Program-Compatibility-Assistant…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
